What is your gender?,In which department you are currently enrolled in?,In which category do you fall in?,What is your current CGPA?,Do you think CGPA is a good indicator of ability?,Does CGPA defines your IQ?,Would you rather focus on your Skills or your CGPA?,Is it possible to maintain a Good CGPA and Good Skills at the same time?,Does a prestigious university will get you a well-paid job?,What is more crucial on resume/CV?,What would you prefer?,A person with a good CGPA but have no Skills related to his/her field. Will he/she get a good job in future?
Male,Computer Science Department,Junior,2.1 -- 3.0,"Maybe, I don't know",3,I'm partially working on both,4,3,Both,Highly paid jobs with average skills set,No
Male,Computer Science Department,Sophomore,3.1 -- 3.5,"No, I don't think so",1,"I want to improve my skills, then my CGPA",3,4,Experience,Highly paid jobs with average skills set,No
Female,Computer Science Department,Freshmen,3.1 -- 3.5,"No, I don't think so",2,I'm partially working on both,2,2,Experience,Career learning skills with low paid jobs,No
Male,Computer Science Department,Sophomore,3.1 -- 3.5,"Yes, I think so",3,I'm partially working on both,4,1,Both,Career learning skills with low paid jobs,No
Male,Computer Science Department,Freshmen,3.1 -- 3.5,"No, I don't think so",4,I'm partially working on both,5,3,Both,Career learning skills with low paid jobs,No
Male,Computer Science Department,Freshmen,3.6 -- 4.0,"Maybe, I don't know",3,"I want to improve my skills, then my CGPA",5,3,Both,Career learning skills with low paid jobs,No
Male,Computer Science Department,Junior,3.1 -- 3.5,"Yes, I think so",3,I'm partially working on both,3,4,Experience,Highly paid jobs with average skills set,No
Female,Computer Science Department,Senior,1.7 -- 2.0,"No, I don't think so",1,"I want to improve my skills, then my CGPA",1,1,Experience,Highly paid jobs with average skills set,No
Male,Computer Science Department,Freshmen,3.6 -- 4.0,"Yes, I think so",1,Trying to get a good CGPA first,1,1,Experience,Highly paid jobs with average skills set,No
Female,Computer Science Department,Freshmen,3.1 -- 3.5,"Yes, I think so",3,"I want to improve my skills, then my CGPA",2,4,Experience,Highly paid jobs with average skills set,Yes
Male,Computer Science Department,Junior,3.1 -- 3.5,"No, I don't think so",2,"I want to improve my skills, then my CGPA",4,4,Experience,Highly paid jobs with average skills set,No
Male,Computer Science Department,Sophomore,2.1 -- 3.0,"No, I don't think so",3,I'm partially working on both,3,3,Both,Career learning skills with low paid jobs,Yes
Female,Computer Science Department,Senior,2.1 -- 3.0,"Yes, I think so",5,I'm partially working on both,2,3,Both,Highly paid jobs with average skills set,No
Male,Computer Science Department,Junior,3.6 -- 4.0,"No, I don't think so",1,I'm partially working on both,5,5,Experience,Highly paid jobs with average skills set,No
Male,Computer Science Department,Graduated,2.1 -- 3.0,"No, I don't think so",1,"I want to improve my skills, then my CGPA",4,4,Experience,Highly paid jobs with average skills set,No
Male,Computer Science Department,Senior,2.1 -- 3.0,"Yes, I think so",3,I'm partially working on both,3,3,Both,Highly paid jobs with average skills set,No
Male,Computer Science Department,Sophomore,3.6 -- 4.0,"No, I don't think so",3,I'm partially working on both,4,2,Both,Highly paid jobs with average skills set,No
Male,Engineering Department,Junior,2.1 -- 3.0,"Maybe, I don't know",2,Trying to get a good CGPA first,5,4,Both,Highly paid jobs with average skills set,No
Male,Computer Science Department,Senior,2.1 -- 3.0,"No, I don't think so",1,"I want to improve my skills, then my CGPA",5,5,Experience,Highly paid jobs with average skills set,Yes
Female,Computer Science Department,Junior,3.1 -- 3.5,"Yes, I think so",4,I'm partially working on both,5,5,Both,Career learning skills with low paid jobs,No
Female,Computer Science Department,Junior,3.6 -- 4.0,"No, I don't think so",3,I'm partially working on both,5,4,Experience,Career learning skills with low paid jobs,No
Female,Medical and Health Sciences,Graduated,2.1 -- 3.0,"No, I don't think so",1,"I want to improve my skills, then my CGPA",2,1,Experience,Career learning skills with low paid jobs,Yes
Female,Arts Department,Graduated,2.1 -- 3.0,"Yes, I think so",3,"I want to improve my skills, then my CGPA",2,3,Both,Career learning skills with low paid jobs,No
Male,Computer Science Department,Senior,3.1 -- 3.5,"Maybe, I don't know",3,I'm partially working on both,3,3,Both,Highly paid jobs with average skills set,Yes
Female,Medical and Health Sciences,Sophomore,3.6 -- 4.0,"Maybe, I don't know",2,"I want to improve my skills, then my CGPA",4,2,Experience,Career learning skills with low paid jobs,No
Female,Computer Science Department,Freshmen,3.1 -- 3.5,"No, I don't think so",1,"I want to improve my skills, then my CGPA",3,3,Experience,Career learning skills with low paid jobs,No
Female,Business,Freshmen,3.6 -- 4.0,"Yes, I think so",4,I'm partially working on both,5,4,Both,Career learning skills with low paid jobs,No
Male,Engineering Department,Graduated,3.6 -- 4.0,"Yes, I think so",4,Trying to get a good CGPA first,3,5,CGPA,Career learning skills with low paid jobs,No
Female,Medical and Health Sciences,Sophomore,3.1 -- 3.5,"Maybe, I don't know",3,"I want to improve my skills, then my CGPA",5,3,Experience,Career learning skills with low paid jobs,No
Male,Computer Science Department,Sophomore,2.1 -- 3.0,"Maybe, I don't know",3,Trying to get a good CGPA first,3,2,Both,Career learning skills with low paid jobs,No
Female,Business,Sophomore,3.6 -- 4.0,"Maybe, I don't know",3,Trying to get a good CGPA first,5,3,Experience,Highly paid jobs with average skills set,No
Male,Computer Science Department,Senior,2.1 -- 3.0,"Yes, I think so",3,"I want to improve my skills, then my CGPA",4,4,Experience,Career learning skills with low paid jobs,No
Female,Computer Science Department,Senior,3.1 -- 3.5,"Yes, I think so",3,I'm partially working on both,5,5,Both,Career learning skills with low paid jobs,No
Male,Accountancy ,Senior,3.1 -- 3.5,"No, I don't think so",2,"I want to improve my skills, then my CGPA",3,4,Experience,Career learning skills with low paid jobs,No
Female,Computer Science Department,Senior,3.6 -- 4.0,"No, I don't think so",4,I'm partially working on both,3,4,Experience,Highly paid jobs with average skills set,No
Female,Computer Science Department,Junior,3.6 -- 4.0,"Maybe, I don't know",4,I'm partially working on both,5,5,Both,Highly paid jobs with average skills set,No
Male,Computer Science Department,Senior,2.1 -- 3.0,"No, I don't think so",1,I'm partially working on both,4,5,Experience,Highly paid jobs with average skills set,No
Female,Digital Media ,Junior,3.6 -- 4.0,"Maybe, I don't know",5,I'm partially working on both,4,4,Both,Career learning skills with low paid jobs,No
Female,Business,Freshmen,3.6 -- 4.0,"Maybe, I don't know",3,I'm partially working on both,5,4,Experience,Career learning skills with low paid jobs,No
Female,Computer Science Department,Junior,3.1 -- 3.5,"Yes, I think so",3,I'm partially working on both,4,3,Both,Highly paid jobs with average skills set,No
Male,Business,Freshmen,3.6 -- 4.0,"Maybe, I don't know",3,Trying to get a good CGPA first,3,2,Experience,Highly paid jobs with average skills set,Yes
Male,Computer Science Department,Sophomore,2.1 -- 3.0,"No, I don't think so",3,I'm partially working on both,4,3,Both,Career learning skills with low paid jobs,No
Female,Engineering Department,Freshmen,3.1 -- 3.5,"Maybe, I don't know",4,I'm partially working on both,4,2,Both,Career learning skills with low paid jobs,No
Female,International Relations,Sophomore,3.1 -- 3.5,"No, I don't think so",1,I'm partially working on both,4,2,Experience,Highly paid jobs with average skills set,No
Male,Medical and Health Sciences,Junior,3.1 -- 3.5,"Maybe, I don't know",2,I'm partially working on both,5,4,Experience,Highly paid jobs with average skills set,No
Female,Computer Science Department,Junior,3.6 -- 4.0,"No, I don't think so",3,I'm partially working on both,5,2,Experience,Highly paid jobs with average skills set,No
Male,Computer Science Department,Freshmen,2.1 -- 3.0,"No, I don't think so",2,Trying to get a good CGPA first,2,3,Experience,Career learning skills with low paid jobs,Yes
Male,E COMMERCE ,Senior,3.1 -- 3.5,"No, I don't think so",3,"I want to improve my skills, then my CGPA",3,1,Experience,Career learning skills with low paid jobs,No
Female,Business,Junior,3.1 -- 3.5,"Yes, I think so",3,I'm partially working on both,4,2,Both,Highly paid jobs with average skills set,Yes
Female,Computer Science Department,Sophomore,3.6 -- 4.0,"Yes, I think so",4,I'm partially working on both,2,2,Both,Career learning skills with low paid jobs,No
Female,Computer Science Department,Junior,3.1 -- 3.5,"Maybe, I don't know",3,I'm partially working on both,5,5,Both,Career learning skills with low paid jobs,No
Female,Computer Science Department,Sophomore,3.6 -- 4.0,"No, I don't think so",2,I'm partially working on both,5,3,Both,Career learning skills with low paid jobs,No
Female,Business,Freshmen,3.6 -- 4.0,"No, I don't think so",3,I'm partially working on both,2,4,Both,Career learning skills with low paid jobs,No
Male,Computer Science Department,Senior,3.1 -- 3.5,"Yes, I think so",4,I'm partially working on both,3,5,Experience,Highly paid jobs with average skills set,Yes
Male,Software Engineering,Junior,3.6 -- 4.0,"No, I don't think so",2,"I want to improve my skills, then my CGPA",3,3,Both,Highly paid jobs with average skills set,Yes
Female,Nutrition and dietetics,Junior,3.1 -- 3.5,"Yes, I think so",3,Trying to get a good CGPA first,3,2,Both,Highly paid jobs with average skills set,No
Male,Computer Science Department,Sophomore,3.6 -- 4.0,"Yes, I think so",4,I'm partially working on both,5,4,Both,Highly paid jobs with average skills set,No
Male,Medical and Health Sciences,Freshmen,2.1 -- 3.0,"Maybe, I don't know",2,"I want to improve my skills, then my CGPA",3,4,Experience,Career learning skills with low paid jobs,No
Female,Computer Science Department,Graduated,2.1 -- 3.0,"No, I don't think so",3,"I want to improve my skills, then my CGPA",3,4,Both,Highly paid jobs with average skills set,No
Male,Computer Science Department,Sophomore,3.1 -- 3.5,"No, I don't think so",1,"I want to improve my skills, then my CGPA",3,4,Experience,Highly paid jobs with average skills set,No
Female,Computer Science Department,Senior,3.1 -- 3.5,"No, I don't think so",3,"I want to improve my skills, then my CGPA",4,4,Experience,Career learning skills with low paid jobs,No
Male,Computer Science Department,Senior,2.1 -- 3.0,"Yes, I think so",2,"I want to improve my skills, then my CGPA",3,4,Experience,Career learning skills with low paid jobs,Yes
Female,Medical and Health Sciences,Sophomore,2.1 -- 3.0,"Maybe, I don't know",1,I'm partially working on both,3,2,Experience,Highly paid jobs with average skills set,No
Male,Computer Science Department,Freshmen,3.6 -- 4.0,"Maybe, I don't know",2,I'm partially working on both,5,4,Experience,Career learning skills with low paid jobs,No
Female,Computer Science Department,Freshmen,3.1 -- 3.5,"No, I don't think so",1,"I want to improve my skills, then my CGPA",5,2,Experience,Career learning skills with low paid jobs,No
Female,Business,Graduated,3.6 -- 4.0,"No, I don't think so",1,"I want to improve my skills, then my CGPA",3,5,Both,Career learning skills with low paid jobs,No
Female,Computer Science Department,Freshmen,3.1 -- 3.5,"No, I don't think so",3,I'm partially working on both,4,4,Both,Highly paid jobs with average skills set,No
Female,Computer Science Department,Freshmen,3.1 -- 3.5,"Maybe, I don't know",4,I'm partially working on both,4,4,Both,Highly paid jobs with average skills set,Yes
Male,Engineering Department,Junior,3.6 -- 4.0,"Yes, I think so",5,I'm partially working on both,5,5,Both,Career learning skills with low paid jobs,No
Male,Computer Science Department,Freshmen,3.6 -- 4.0,"No, I don't think so",2,I'm partially working on both,5,3,Both,Career learning skills with low paid jobs,No
Male,Computer Science Department,Sophomore,3.6 -- 4.0,"No, I don't think so",1,I'm partially working on both,5,4,Experience,Highly paid jobs with average skills set,No
Female,Computer Science Department,Freshmen,3.1 -- 3.5,"No, I don't think so",4,I'm partially working on both,4,5,Experience,Career learning skills with low paid jobs,Yes
Male,Computer Science Department,Junior,3.6 -- 4.0,"No, I don't think so",2,I'm partially working on both,4,3,Experience,Highly paid jobs with average skills set,No
Female,Computer Science Department,Sophomore,2.1 -- 3.0,"No, I don't think so",2,I'm partially working on both,1,5,Experience,Highly paid jobs with average skills set,No
Male,Computer Science Department,Senior,3.1 -- 3.5,"Yes, I think so",3,"I want to improve my skills, then my CGPA",5,4,Experience,Career learning skills with low paid jobs,No
Female,Computer Science Department,Freshmen,3.6 -- 4.0,"Maybe, I don't know",3,"I want to improve my skills, then my CGPA",3,3,Experience,Career learning skills with low paid jobs,No
Male,Engineering Department,Sophomore,3.1 -- 3.5,"No, I don't think so",1,"I want to improve my skills, then my CGPA",4,4,Both,Highly paid jobs with average skills set,No
Female,Computer Science Department,Senior,2.1 -- 3.0,"Maybe, I don't know",3,I'm partially working on both,3,2,Both,Highly paid jobs with average skills set,Yes
Female,Computer Science Department,Junior,3.6 -- 4.0,"Yes, I think so",4,I'm partially working on both,4,5,Both,Highly paid jobs with average skills set,No
Female,Computer Science Department,Freshmen,3.1 -- 3.5,"Yes, I think so",4,I'm partially working on both,3,4,Experience,Highly paid jobs with average skills set,No
Male,Computer Science Department,Junior,3.6 -- 4.0,"No, I don't think so",4,"I want to improve my skills, then my CGPA",4,3,Experience,Highly paid jobs with average skills set,Yes
Female,Computer Science Department,Sophomore,2.1 -- 3.0,"No, I don't think so",1,I'm partially working on both,3,3,Both,Highly paid jobs with average skills set,No
Female,Medical and Health Sciences,Graduated,3.1 -- 3.5,"No, I don't think so",3,I'm partially working on both,3,2,Both,Career learning skills with low paid jobs,No
Female,Computer Science Department,Senior,3.1 -- 3.5,"No, I don't think so",2,I'm partially working on both,4,2,Experience,Career learning skills with low paid jobs,No
Female,Business,Freshmen,3.6 -- 4.0,"Yes, I think so",4,I'm partially working on both,5,3,Both,Career learning skills with low paid jobs,No
